cuda_version,cuda_full_version,driver_min_version
12.1,"12.1.0","530.30.02"
12.0,"12.0.0","525.60.13"
11.8,"11.8.0","520.61.05"
11.7,"11.7.0","515.65.01"
11.6,"11.6.0","510.47.03"
11.5,"11.5.0","495.29.05"
11.4,"11.4.0","470.57.02"
11.3,"11.3.0","465.19.01"
11.2,"11.2.0","460.27.03"
11.1,"11.1.0","455.23.05"
11.0,"11.0.171","450.36.06"
10.2,"10.2.89","440.33"
10.1,"10.1.105","418.39"
10.0,"10.0.130","410.48"
9.2,"9.2.88","396.26"
9.1,"9.1.85","390.46"
9.0,"9.0.76","384.81"
8.0,"8.0.61 GA2","375.26"
7.5,"7.5.16","352.31"
7.0,"7.0.28","346.46"
0.0,"0.0","0.0"
