name,version,url,registry_url,registry_user,registry_password,cuda_version,framework_name,framework_version,domain,types,min_hardware_generation,cpu
tf_deepspeech_train,0.7.4,public.aml-repo.cms.waikato.ac.nz:443/tensorflow/deepspeech_train:0.7.4,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,tensorflow,1.15,speech,train,Pascal,false
tf_deepspeech_predict,0.7.4,public.aml-repo.cms.waikato.ac.nz:443/tensorflow/deepspeech_predict:0.7.4,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,tensorflow,1.15,speech,predict,Pascal,false
tf_imageclass,1.14,public.aml-repo.cms.waikato.ac.nz:443/tensorflow/image_classification:1.14,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,tensorflow,1.14,classify,"train,predict",Pascal,false
tf_imageclass_train,1.14,public.aml-repo.cms.waikato.ac.nz:443/tensorflow/image_classification_retrain:1.14,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,tensorflow,1.14,classify,train,Pascal,false
tf_imageclass_predict,1.14,public.aml-repo.cms.waikato.ac.nz:443/tensorflow/image_classification_poll:1.14,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,tensorflow,1.14,classify,predict,Pascal,false
tf_imageclass_cpu,1.14,public.aml-repo.cms.waikato.ac.nz:443/tensorflow/image_classification:1.14,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,tensorflow,1.14,classify,"train,predict",Fermi,true
tf_objdet_train,1.14.0_2019-08-31,public.aml-repo.cms.waikato.ac.nz:443/tensorflow/object_detection_train:1.14.0_2019-08-31,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,tensorflow,1.14,objbdet,train,Pascal,false
tf_objdet_predict,1.14.0_2019-08-31,public.aml-repo.cms.waikato.ac.nz:443/tensorflow/object_detection_predict:1.14.0_2019-08-31,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,tensorflow,1.14,objbdet,predict,Pascal,false
tf_objdet_export,1.14.0_2019-08-31,public.aml-repo.cms.waikato.ac.nz:443/tensorflow/object_detection_export:1.14.0_2019-08-31,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,tensorflow,1.14,objbdet,export,Pascal,false
yolact_train,2020-02-11,public.aml-repo.cms.waikato.ac.nz:443/yolact/yolactpp_train:2020-02-11,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,yolact,2020-02-11,objdet,train,Pascal,false
yolact_predict,2020-02-11,public.aml-repo.cms.waikato.ac.nz:443/yolact/yolactpp_predict:2020-02-11,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,yolact,2020-02-11,objdet,predict,Pascal,false
yolact_slim_train,2020-02-11,public.aml-repo.cms.waikato.ac.nz:443/yolact/yolactpp_slim_train:2020-02-11,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,yolact_slim,2020-02-11,objdet,train,Turing,false
yolact_slim_predict,2020-02-11,public.aml-repo.cms.waikato.ac.nz:443/yolact/yolactpp_slim_predict:2020-02-11,public.aml-repo.cms.waikato.ac.nz:443,,,10.0,yolact_slim,2020-02-11,objdet,predict,Turing,false
mmdetection_train,2020-03-01,public.aml-repo.cms.waikato.ac.nz:443/open-mmlab/mmdetection_train:2020-03-01,public.aml-repo.cms.waikato.ac.nz:443,,,10.1,mmdetection,2020-03-01,objdet,train,Turing,false
mmdetection_predict,2020-03-01,public.aml-repo.cms.waikato.ac.nz:443/open-mmlab/mmdetection_predict:2020-03-01,public.aml-repo.cms.waikato.ac.nz:443,,,10.1,mmdetection,2020-03-01,objdet,predict,Turing,false
mmdetection_cuda10_train,2020-03-01,public.aml-repo.cms.waikato.ac.nz:443/open-mmlab/mmdetection_train:2020-03-01_cuda10,public.aml-repo.cms.waikato.ac.nz:443,,,10.1,mmdetection_cuda10,2020-03-01,objdet,train,Pascal,false
mmdetection_cuda10_predict,2020-03-01,public.aml-repo.cms.waikato.ac.nz:443/open-mmlab/mmdetection_predict:2020-03-01_cuda10,public.aml-repo.cms.waikato.ac.nz:443,,,10.1,mmdetection_cuda10,2020-03-01,objdet,predict,Pascal,false
