name,package,cls
UFDLType,ufdl.jobtypes,ufdl.jobtypes.base.UFDLType
UFDLJSONType,ufdl.jobtypes,ufdl.jobtypes.base.UFDLJSONType
FiniteJSONType,ufdl.jobtypes,ufdl.jobtypes.base.FiniteJSONType
ServerResidentType,ufdl.jobtypes,ufdl.jobtypes.base.ServerResidentType
NamedServerType,ufdl.jobtypes,ufdl.jobtypes.base.NamedServerType
ValueType,ufdl.jobtypes,ufdl.jobtypes.base.ValueType
str,ufdl.jobtypes,ufdl.jobtypes.base.String
int,ufdl.jobtypes,ufdl.jobtypes.base.Integer
float,ufdl.jobtypes,ufdl.jobtypes.base.Float
bool,ufdl.jobtypes,ufdl.jobtypes.base.Boolean
Array,ufdl.jobtypes,ufdl.jobtypes.standard.container.Array
Map,ufdl.jobtypes,ufdl.jobtypes.standard.container.Map
CUDAVersion,ufdl.jobtypes,ufdl.jobtypes.standard.server.CUDAVersion
Dataset,ufdl.jobtypes,ufdl.jobtypes.standard.server.Dataset
DockerImage,ufdl.jobtypes,ufdl.jobtypes.standard.server.DockerImage
Domain,ufdl.jobtypes,ufdl.jobtypes.standard.server.Domain
Framework,ufdl.jobtypes,ufdl.jobtypes.standard.server.Framework
Hardware,ufdl.jobtypes,ufdl.jobtypes.standard.server.Hardware
PretrainedModel,ufdl.jobtypes,ufdl.jobtypes.standard.server.PretrainedModel
BLOB,ufdl.jobtypes,ufdl.jobtypes.standard.util.BLOB
Compressed,ufdl.jobtypes,ufdl.jobtypes.standard.util.Compressed
JSON,ufdl.jobtypes,ufdl.jobtypes.standard.util.JSON
Nothing,ufdl.jobtypes,ufdl.jobtypes.standard.util.Nothing
JobOutput,ufdl.jobtypes,ufdl.jobtypes.standard.JobOutput
Model,ufdl.jobtypes,ufdl.jobtypes.standard.Model
Name,ufdl.jobtypes,ufdl.jobtypes.standard.Name
PK,ufdl.jobtypes,ufdl.jobtypes.standard.PK
